ID;Age;Exp;RMM;F;DM;Educ;CEL;PP
88;48;22;78;3;1100;1;Non;Non
89;65;41;51;2;1100;1;Non;Non
90;25;-1;113;4;2300;3;Non;Non
91;55;30;118;4;5600;2;Non;Oui
92;35;10;29;4;1100;3;Non;Non
93;43;19;34;3;600;2;Non;Non
94;60;34;64;2;1700;3;Non;Non
95;65;39;121;1;2000;1;Non;Non
96;38;12;48;4;200;3;Non;Non
97;41;15;80;1;5200;1;Non;Non
98;54;28;161;1;2900;1;Non;Non
99;49;23;94;1;300;1;Non;Non
100;66;41;15;3;100;3;Non;Non
101;48;23;74;1;1200;1;Non;Non
102;61;36;30;3;1300;2;Non;Non
103;53;23;44;3;1000;3;Non;Non
104;43;18;22;2;300;2;Non;Non
105;56;32;38;4;1300;1;Non;Non
106;24;0;35;3;100;2;Non;Non
107;43;17;69;4;2900;1;Non;Non
108;42;18;43;1;700;1;Non;Non
109;33;7;32;1;600;3;Non;Non
110;43;17;49;1;2800;1;Non;Non
111;41;14;9;3;1000;2;Non;Non
112;62;38;45;4;1300;2;Non;Non
113;40;15;82;3;1000;1;Non;Non
114;58;34;92;2;2800;1;Non;Non
115;39;14;39;3;500;3;Non;Non
116;65;40;81;3;1800;2;Non;Non
117;54;29;35;1;1500;2;Non;Non
118;58;33;61;2;2300;3;Non;Non
119;41;16;73;3;3000;1;Non;Non
120;32;7;112;1;4600;1;Non;Non
121;54;29;12;2;200;3;Non;Non
122;52;26;38;3;900;3;Non;Non
123;58;32;73;2;700;2;Non;Non
124;37;13;84;1;3600;2;Non;Non
125;39;15;78;4;2400;1;Non;Non
126;60;35;80;3;500;1;Non;Non
127;31;5;115;2;1300;1;Non;Non
128;34;8;82;1;2700;2;Non;Non
130;41;16;70;3;500;3;Non;Non
131;28;4;81;3;1500;1;Non;Non
132;58;34;149;4;7200;2;Oui;Oui
133;31;1;51;2;1750;3;Non;Non
134;30;4;39;3;1100;2;Non;Non
135;53;29;98;3;1800;2;Non;Non
136;58;33;45;4;2100;1;Non;Non
137;59;32;49;4;2500;2;Non;Non
138;49;25;128;2;400;1;Non;Non
139;59;34;42;3;1500;1;Oui;Non
140;59;35;18;1;1200;3;Non;Non
141;51;25;31;2;400;3;Non;Non
142;35;11;58;3;2000;1;Non;Non
143;33;9;48;1;2100;3;Non;Non
144;25;1;54;4;1600;1;Non;Non
145;49;23;70;2;1500;2;Non;Non
146;59;35;124;1;7400;1;Non;Non
147;46;19;84;1;2670;2;Non;Non
148;50;25;83;4;3600;3;Non;Non
149;52;28;163;2;400;1;Non;Non
150;48;22;42;3;2200;2;Non;Non
151;46;22;118;2;7500;1;Oui;Non
152;26;0;132;3;6500;3;Non;Oui
153;57;32;24;1;1300;1;Non;Non
154;60;36;22;2;1000;1;Oui;Non
155;54;29;58;4;1300;3;Non;Non
156;24;0;60;4;1600;1;Non;Non
157;26;0;15;4;400;1;Non;Non
158;41;17;83;4;2670;1;Non;Non
159;32;6;79;2;1500;3;Non;Non
160;61;35;41;4;1700;2;Non;Non
161;29;0;134;4;6500;3;Non;Oui
162;61;35;80;2;2800;1;Non;Non
163;38;12;52;1;2000;1;Non;Non
164;28;4;70;4;2600;1;Non;Non
165;53;27;92;2;1100;1;Non;Non
166;27;1;43;1;1500;1;Non;Non
167;25;1;21;3;1000;2;Non;Non
168;33;9;23;3;900;3;Non;Non
169;50;26;13;4;1000;1;Non;Non
170;27;1;112;4;2100;3;Non;Non
171;27;1;138;2;2000;1;Non;Non
172;52;28;11;3;400;1;Non;Non
173;38;13;171;2;7800;1;Non;Non
174;58;34;42;4;1500;1;Non;Non
175;42;17;168;2;7900;2;Non;Oui
176;45;20;85;4;1100;2;Non;Non
177;52;25;44;3;1000;2;Non;Non
178;29;3;65;4;1800;2;Non;Non
179;53;29;24;4;200;1;Non;Non
180;62;37;11;1;100;1;Non;Non
181;51;27;38;2;1000;3;Non;Non
182;36;12;10;4;700;2;Non;Non
183;24;0;135;1;1500;1;Non;Non
184;29;3;148;3;4100;1;Non;Oui
185;52;26;63;2;1500;2;Non;Non
186;39;14;115;1;1000;3;Non;Non
187;48;23;45;1;300;1;Non;Non
188;46;21;159;3;1900;3;Non;Oui
189;64;40;169;2;2100;1;Non;Non
190;55;29;112;2;1400;1;Non;Non
191;60;36;93;1;4300;1;Non;Non
192;51;25;29;1;300;3;Non;Non
193;50;23;85;1;2670;2;Non;Non
194;48;24;21;4;600;1;Non;Non
195;53;29;144;2;6800;1;Non;Non
196;34;10;13;4;1000;1;Non;Non
197;48;24;165;1;5000;1;Non;Non
198;55;31;9;4;700;1;Non;Non
200;36;11;158;1;5100;3;Oui;Oui
201;32;6;29;1;1900;3;Non;Non
202;35;9;20;2;1400;3;Non;Non
203;30;3;68;4;2000;2;Non;Non
204;58;34;65;4;2200;1;Non;Non
205;56;31;61;2;1900;2;Non;Non
206;38;12;91;4;1400;2;Non;Non
207;49;25;31;1;1000;1;Non;Non
208;34;10;71;4;100;2;Non;Non
209;40;16;73;4;2670;1;Non;Non
210;64;39;172;4;3100;1;Oui;Oui
212;44;18;55;1;200;1;Non;Non
213;46;22;69;2;1700;1;Non;Non
214;57;33;155;1;7400;1;Non;Non
215;54;28;94;1;1900;2;Non;Non
217;27;3;125;2;600;1;Non;Non
218;39;14;74;3;3000;1;Non;Non
219;44;20;72;3;300;3;Non;Non
220;56;30;61;1;2200;3;Non;Non
221;32;6;25;2;300;1;Non;Non
222;45;19;83;2;1700;2;Non;Non
223;26;2;104;3;2500;1;Non;Non
224;55;25;41;3;1000;3;Non;Non
225;52;27;58;4;1800;3;Non;Non
226;39;13;93;1;1500;3;Non;Non
227;24;-1;39;2;1700;2;Non;Non
228;47;23;148;2;7500;1;Oui;Non
229;47;22;53;4;1900;3;Oui;Non
230;48;24;71;2;1700;1;Non;Non
231;47;22;92;1;2800;2;Non;Non
232;35;10;61;4;2100;3;Non;Non
233;46;19;38;3;2500;2;Non;Non
234;62;37;58;4;1700;1;Non;Non
235;26;1;80;1;800;2;Non;Non
236;38;8;71;4;1800;3;Non;Non
237;43;18;89;3;500;3;Non;Non
238;62;38;83;1;1800;3;Non;Non
239;57;32;28;3;200;1;Non;Non
240;28;3;52;4;1700;2;Non;Non
241;51;26;70;1;1200;1;Non;Non
242;48;22;71;1;1400;3;Non;Non
243;41;16;75;1;3700;3;Non;Non
244;65;39;170;3;7900;3;Oui;Oui
245;41;17;78;4;800;1;Non;Non
246;35;11;25;2;1000;2;Non;Non
247;38;14;60;2;600;3;Non;Non
248;53;29;120;4;2700;2;Oui;Oui
249;55;29;99;2;1400;1;Non;Non
250;26;1;55;3;2600;3;Non;Non
251;30;6;29;3;1000;2;Non;Non
252;54;28;170;2;6200;2;Non;Oui
253;65;40;53;3;2200;1;Non;Non
255;65;41;134;3;3900;3;Non;Oui
256;66;40;42;2;700;3;Non;Non
257;26;0;99;4;2300;3;Non;Non
258;66;41;18;3;500;1;Non;Non
259;35;9;24;4;300;1;Non;Non
260;56;30;55;1;1400;1;Non;Non
262;42;16;111;2;1200;3;Non;Oui
263;49;23;33;1;300;3;Oui;Non
264;27;1;74;4;1800;2;Non;Non
265;45;19;38;2;700;1;Non;Non
266;49;23;23;4;600;3;Non;Non
267;63;38;61;2;1500;1;Non;Non
268;47;22;81;1;2900;1;Non;Non
269;64;39;129;1;2500;1;Non;Non
270;43;13;33;1;750;3;Non;Non
271;60;36;63;4;2200;1;Non;Non
272;40;14;70;4;1400;2;Non;Non
273;29;3;45;4;200;1;Non;Non
274;41;16;65;3;500;3;Non;Non
275;30;5;74;4;2200;1;Non;Non
276;49;24;50;4;1800;3;Non;Non
277;30;5;22;4;500;3;Non;Non
278;29;2;30;4;1000;3;Non;Non
279;50;26;21;4;1000;1;Non;Non
280;39;14;155;2;3900;1;Non;Non
281;33;8;64;4;2100;3;Non;Non
282;57;31;65;4;2600;3;Non;Non
283;34;9;71;4;700;3;Non;Non
284;61;36;40;3;500;2;Non;Non
285;44;19;69;3;500;3;Non;Non
286;40;13;69;3;2330;2;Non;Non
287;51;25;45;3;600;2;Non;Non
288;37;12;62;3;700;2;Non;Non
289;44;19;172;2;4300;3;Oui;Oui
290;42;15;24;3;1000;2;Non;Non
291;51;25;80;1;4900;1;Non;Non
292;43;16;8;3;670;2;Non;Non
293;30;5;38;4;800;1;Non;Non
294;45;19;93;4;2600;3;Non;Non
295;35;9;55;1;2000;1;Non;Non
296;60;34;64;2;1700;3;Non;Non
298;55;25;70;3;1400;3;Non;Non
299;43;19;81;2;3200;1;Non;Non
300;41;15;159;1;5500;3;Oui;Oui
301;34;9;70;4;1300;1;Non;Non
302;65;39;150;2;6900;1;Non;Non
303;45;21;152;2;7500;1;Non;Non
304;49;25;195;4;3000;1;Non;Oui
305;48;23;22;1;100;1;Non;Non
306;60;35;22;1;1300;1;Non;Non
307;55;29;79;3;800;1;Non;Non
308;42;18;33;1;1400;3;Non;Non
309;32;8;128;2;4330;1;Oui;Non
310;62;38;91;1;3800;1;Non;Non
311;57;32;39;4;900;1;Non;Non
312;52;26;121;1;7300;1;Non;Non
313;36;6;21;1;670;3;Non;Non
314;34;9;41;3;2300;1;Non;Non
315;63;37;45;2;700;3;Non;Non
316;24;-2;51;3;300;3;Non;Non
317;57;31;165;1;1600;2;Non;Oui
318;40;16;119;2;4200;2;Non;Oui
319;27;2;110;4;1800;3;Non;Non
320;65;39;20;3;700;2;Non;Non
321;60;34;64;1;800;2;Non;Non
322;44;20;101;3;4400;2;Non;Oui
323;63;39;101;1;3900;1;Oui;Oui
324;59;34;99;1;4400;1;Non;Oui
325;56;30;158;4;6100;1;Non;Oui
326;54;28;89;1;1900;2;Non;Non
327;52;27;80;1;1300;3;Oui;Non
328;58;32;114;2;2000;1;Non;Non
329;60;35;49;3;500;2;Non;Non
330;28;4;191;1;6330;1;Non;Non
331;54;30;78;4;1000;2;Non;Non
332;32;6;28;3;1000;1;Non;Non
333;59;33;42;1;800;2;Non;Non
334;63;38;140;1;2500;1;Non;Non
335;48;23;45;1;1300;2;Non;Non
336;56;32;122;2;300;1;Oui;Non
337;36;12;65;3;2600;2;Non;Non
338;57;27;68;1;1400;3;Non;Non
339;29;3;153;2;2000;1;Non;Non
340;39;13;89;4;1400;2;Non;Non
341;59;34;91;1;2600;1;Non;Non
342;31;6;55;4;2000;2;Non;Non
343;43;19;118;2;3300;1;Non;Non
344;35;5;22;1;670;3;Non;Non
345;54;24;63;3;1400;3;Non;Non
346;51;27;12;4;500;2;Non;Non
347;44;19;50;3;2700;2;Non;Non
348;25;0;43;2;1600;3;Oui;Non
349;40;15;173;4;6600;1;Oui;Oui
350;26;2;60;2;3000;1;Non;Oui
351;39;14;113;1;1000;3;Non;Non
352;28;4;155;4;5300;2;Non;Oui
353;52;28;91;4;1000;2;Non;Non
354;53;29;55;4;1100;2;Non;Non
355;44;20;173;2;1400;1;Non;Non
356;43;19;71;3;300;3;Non;Non
357;56;30;24;2;400;3;Non;Non
358;38;14;42;1;2000;2;Non;Non
359;30;6;141;2;4330;1;Non;Non
360;32;6;32;1;1900;3;Non;Non
361;35;10;55;4;1300;1;Non;Non
362;43;19;153;2;7500;1;Non;Non
363;58;32;113;2;1400;1;Non;Non
364;25;0;30;2;1700;2;Non;Non
365;54;24;29;3;1000;3;Non;Non
366;57;32;174;1;6800;2;Non;Oui
367;50;24;35;1;300;3;Non;Non
368;32;8;98;2;2000;2;Non;Non
369;63;37;30;2;1000;3;Non;Non
370;31;6;58;2;2500;1;Non;Non
371;36;12;25;4;1000;1;Non;Non
372;58;34;19;4;700;1;Non;Non
373;56;30;44;4;700;2;Non;Non
374;49;25;20;4;1000;1;Non;Non
375;30;5;98;2;3100;1;Non;Non
376;33;7;90;3;1600;1;Non;Non
377;45;21;61;3;700;1;Non;Non
378;30;5;40;4;2000;2;Non;Non
379;47;23;38;2;2100;3;Non;Non
380;25;0;28;2;1700;2;Non;Non
381;63;33;34;1;1500;3;Non;Non
382;55;29;73;2;2300;3;Non;Non
383;65;41;133;4;2000;1;Non;Oui
384;44;18;53;1;200;1;Non;Non
385;51;25;21;4;600;3;Non;Non
386;35;9;40;3;900;1;Non;Non
387;30;5;41;4;1700;2;Non;Non
388;31;5;82;4;1800;2;Non;Non
389;54;30;100;4;3400;3;Non;Oui
390;45;20;155;1;7000;1;Non;Non
391;45;19;45;1;200;1;Non;Non
392;58;32;9;3;300;3;Non;Non
393;54;29;48;4;1800;3;Non;Non
394;53;28;18;4;100;3;Oui;Non
395;33;9;80;4;3400;1;Non;Non
396;60;35;64;2;2800;1;Non;Non
397;50;24;29;4;100;1;Non;Non
398;26;2;48;3;700;2;Non;Non
399;54;30;23;2;400;1;Non;Non
400;28;3;84;4;200;1;Non;Non
401;36;10;179;3;6600;1;Non;Oui
402;29;2;30;4;1500;2;Non;Non
403;54;28;93;1;4900;1;Oui;Non
404;55;30;39;2;1900;2;Non;Non
405;61;36;60;3;500;2;Non;Non
406;36;11;133;1;3800;1;Oui;Non
407;45;19;125;1;2400;1;Non;Non
408;64;40;58;1;1800;3;Non;Non
409;60;36;89;2;2800;1;Non;Non
410;49;22;82;1;2670;2;Non;Non
411;47;23;110;2;3300;1;Non;Non
412;60;36;54;4;2300;3;Non;Non
413;45;20;89;4;1900;3;Non;Non
414;32;7;42;3;2300;1;Non;Non
415;52;28;41;3;1900;2;Non;Non
416;35;8;38;4;1000;2;Non;Non
417;40;15;85;2;400;1;Non;Non
418;53;29;83;4;1000;2;Non;Non
419;27;0;33;4;1000;3;Non;Non
420;58;33;50;4;2100;1;Non;Non
421;47;22;58;4;3600;3;Non;Non
422;28;3;115;4;3100;2;Non;Oui
423;46;20;145;2;6300;1;Oui;Non
424;43;19;161;2;7500;1;Non;Non
425;56;30;38;1;200;1;Non;Non
426;28;3;28;4;800;1;Non;Non
427;42;18;75;3;2330;1;Non;Non
428;32;7;35;3;1300;1;Non;Non
429;62;38;24;2;1000;1;Non;Non
430;37;13;78;4;100;2;Non;Non
431;51;26;113;1;1300;3;Non;Non
432;39;13;75;3;2100;1;Non;Non
433;43;17;91;1;5700;1;Non;Non
434;52;28;31;4;200;1;Non;Non
435;30;6;45;1;1800;2;Non;Non
436;52;26;80;3;800;1;Non;Non
437;61;35;50;3;1400;3;Non;Non
438;36;9;31;4;1000;2;Non;Non
439;58;32;113;2;3800;2;Oui;Oui
440;47;23;29;4;600;1;Non;Non
441;64;39;59;2;1500;1;Non;Non
442;52;27;43;1;1300;2;Non;Non
443;58;28;122;1;3000;3;Non;Oui
444;48;24;29;1;1000;1;Non;Non
446;58;32;65;3;2200;3;Non;Non
447;47;23;22;1;1000;1;Non;Non
448;49;23;71;1;1400;3;Non;Non
449;31;4;60;4;2000;2;Non;Non
450;61;37;60;3;2000;3;Non;Non
451;51;25;69;1;300;1;Non;Non
452;28;-2;48;2;1750;3;Non;Non
453;39;13;21;3;200;2;Non;Non
454;54;28;53;4;2800;2;Non;Non
455;50;24;29;3;900;3;Non;Non
456;30;4;60;4;2200;2;Non;Non
457;64;39;42;3;500;2;Non;Non
458;29;3;69;3;300;3;Non;Non
459;48;24;20;1;1000;1;Non;Non
460;35;10;200;2;3000;1;Non;Non
461;60;36;141;2;2100;1;Non;Non
462;55;30;81;2;3700;1;Non;Non
463;29;4;183;3;8300;3;Non;Oui
464;48;22;149;2;5500;2;Oui;Oui
465;43;19;83;4;3600;3;Non;Oui
466;66;42;35;1;1900;2;Non;Non
467;25;0;13;2;900;3;Non;Non
468;45;20;39;1;2400;1;Non;Non
469;34;10;21;1;500;3;Non;Non
470;48;23;10;2;700;3;Non;Non
471;32;6;84;4;1800;2;Non;Non
472;50;24;30;4;100;1;Non;Non
473;43;19;31;4;300;1;Non;Non
474;64;39;182;1;1200;2;Non;Oui
475;60;34;114;2;6900;1;Non;Non
476;43;19;152;3;6100;2;Non;Oui
477;60;34;53;1;800;2;Non;Non
478;64;39;24;4;400;2;Non;Non
479;44;20;150;2;3300;1;Non;Non
480;60;36;132;2;6000;1;Non;Non
481;54;29;68;3;1600;3;Non;Non
482;33;9;53;1;1200;1;Non;Non
483;56;32;173;1;4600;2;Oui;Oui
484;29;5;30;3;1000;2;Non;Non
485;25;1;113;2;200;1;Non;Non
486;60;34;15;1;800;2;Non;Non
487;55;30;84;2;3700;1;Non;Non
488;39;13;88;4;1400;2;Non;Non
489;37;13;43;3;2800;1;Non;Non
490;53;28;43;2;2100;3;Oui;Non
491;34;10;90;2;2700;1;Non;Non
492;42;18;34;4;300;1;Non;Non
493;60;36;38;4;1300;1;Non;Non
494;50;24;173;1;1000;1;Non;Non
495;41;17;160;2;8000;1;Non;Non
496;25;0;44;4;600;2;Non;Non
497;50;24;83;2;400;3;Non;Non
498;48;22;94;4;2600;3;Non;Non
499;32;8;43;1;2100;3;Non;Non
500;50;25;42;3;1700;2;Non;Non
501;59;33;34;2;300;1;Non;Non
502;50;26;39;3;1900;2;Non;Non
503;44;19;70;1;100;2;Non;Non
504;31;5;39;4;1800;3;Non;Non
505;40;10;44;3;2000;3;Non;Non
506;36;12;69;3;3100;2;Non;Oui
507;51;25;44;3;900;3;Non;Non
508;64;40;32;3;100;3;Non;Non
509;47;22;15;2;700;3;Non;Non
510;52;28;118;2;6800;1;Non;Non
511;51;26;62;1;1300;2;Non;Non
512;31;5;82;4;2200;2;Non;Non
513;39;14;54;3;3000;1;Non;Non
514;30;6;48;1;2100;3;Non;Non
515;27;1;74;3;300;3;Non;Non
516;41;16;113;1;1000;3;Non;Non
517;53;27;81;3;1700;2;Non;Non
518;54;27;43;3;1000;2;Non;Non
519;28;4;34;1;1800;2;Non;Non
520;34;9;48;1;2500;3;Non;Non
521;61;37;54;4;1200;2;Non;Non
522;48;24;75;4;1400;2;Non;Non
523;36;11;72;1;2800;1;Non;Non
524;56;31;39;4;900;1;Non;Non
525;24;-1;75;4;200;1;Non;Non
526;64;38;79;2;2800;1;Non;Non
527;26;2;205;1;6330;1;Non;Non
528;33;8;65;2;100;1;Non;Non
529;64;39;122;4;200;1;Non;Oui
530;39;15;82;1;800;2;Non;Non
531;54;30;21;2;200;1;Non;Non
532;32;6;50;4;2100;3;Oui;Non
533;62;37;39;2;2800;1;Oui;Non
534;27;2;101;1;1900;1;Non;Non
535;53;28;41;2;600;3;Non;Non
536;51;25;132;1;300;1;Non;Non
537;25;-1;43;3;2400;2;Non;Non
538;44;20;131;1;4900;3;Non;Oui
539;31;5;11;1;400;2;Non;Non
540;57;32;21;1;300;3;Non;Non
541;25;-1;109;4;2300;3;Non;Non
542;30;6;141;2;4330;1;Non;Non
543;40;14;81;3;100;1;Non;Non
544;63;38;54;3;2400;1;Non;Non
545;35;10;164;2;7800;1;Non;Non
546;43;19;28;4;300;1;Non;Non
547;27;2;68;3;2600;3;Non;Non
548;44;14;44;3;2000;3;Oui;Non
549;49;23;61;1;1400;3;Non;Non
550;61;36;35;3;1300;2;Non;Non
551;60;34;54;3;300;2;Non;Non
552;59;34;14;1;100;1;Non;Non
553;28;3;52;4;2200;1;Non;Non
554;52;28;101;2;300;1;Non;Non
555;28;2;149;2;7200;1;Non;Non
556;34;8;35;4;800;1;Oui;Non
557;60;34;21;3;300;3;Non;Non
558;39;15;118;2;1900;1;Non;Non
559;30;5;38;4;2000;2;Non;Non
560;49;25;24;4;200;1;Non;Non
561;43;18;59;1;3700;3;Non;Non
562;63;33;41;4;1670;3;Non;Non
563;28;3;85;1;800;2;Non;Non
564;51;27;12;4;1000;1;Non;Non
565;33;7;32;1;600;3;Non;Non
566;55;29;79;3;800;1;Non;Non
567;53;28;175;3;3600;3;Oui;Oui
568;34;8;28;3;900;1;Non;Non
569;34;9;41;2;100;1;Non;Non
570;40;14;70;3;2100;1;Non;Non
571;49;25;161;3;6500;2;Oui;Oui
572;35;9;53;4;2200;2;Non;Non
573;39;15;128;1;3400;1;Non;Non
574;55;28;50;3;1000;2;Non;Non
575;29;5;80;2;2000;2;Non;Non
576;54;30;93;1;2700;2;Non;Non
577;25;-1;48;3;300;3;Non;Non
578;52;28;149;2;6800;1;Non;Non
579;46;19;49;3;2500;2;Non;Non
580;57;33;88;1;2700;2;Non;Non
581;52;22;22;4;400;3;Non;Non
582;28;3;55;4;2200;1;Non;Non
583;44;18;72;1;700;3;Non;Non
584;24;-1;38;2;1700;2;Non;Non
585;40;16;114;1;3400;1;Non;Non
586;34;4;83;4;4000;3;Non;Non
587;39;14;101;2;400;1;Non;Non
588;50;24;94;1;4900;1;Non;Non
589;41;17;40;2;2500;1;Oui;Non
590;31;7;128;1;6000;1;Non;Non
591;29;3;39;4;2100;3;Non;Non
592;30;5;51;1;1000;1;Non;Non
593;44;20;79;4;2000;3;Oui;Non
594;33;7;48;4;2200;2;Non;Non
596;42;18;41;1;1800;1;Non;Non
597;48;22;152;1;3500;3;Non;Oui
598;24;-2;125;2;7200;1;Non;Non
599;56;31;11;2;200;3;Non;Non
600;28;4;103;2;2500;1;Non;Non
601;56;30;141;2;500;1;Non;Non
602;58;32;38;1;1400;1;Non;Non
603;29;5;135;2;600;1;Non;Non
604;63;38;28;2;500;2;Non;Non
605;28;3;70;4;2200;1;Non;Non
606;57;31;41;1;200;1;Non;Non
607;34;8;81;3;900;2;Non;Non
608;28;3;170;1;100;3;Non;Oui
609;27;2;55;4;1700;2;Non;Non
610;37;11;24;4;1500;3;Non;Non
611;52;28;81;3;1800;2;Non;Non
612;49;23;32;4;1800;1;Non;Non
613;65;40;129;1;1300;1;Non;Non
614;60;35;108;1;900;1;Non;Non
615;37;12;180;1;8600;1;Non;Non
616;63;37;139;2;6900;1;Non;Non
617;40;14;33;2;1400;3;Non;Non
618;46;20;74;4;2600;3;Non;Non
619;63;37;42;2;700;3;Non;Non
620;57;27;73;1;3000;3;Non;Non
621;33;8;115;4;2900;2;Non;Oui
622;41;17;114;2;1800;2;Non;Non
623;41;17;92;2;1900;1;Non;Non
624;44;19;34;1;300;3;Non;Non
625;33;6;54;2;1670;2;Non;Non
626;52;28;64;2;1000;3;Non;Non
627;30;6;42;1;200;3;Non;Non
628;45;19;70;3;2100;1;Non;Non
629;49;24;51;1;1300;2;Non;Non
630;45;19;71;4;2900;1;Oui;Non
631;32;7;35;3;1300;1;Non;Non
632;45;18;40;3;1000;2;Non;Non
633;57;32;165;4;2700;3;Non;Oui
634;61;31;18;1;1500;3;Non;Non
635;57;31;32;3;1400;1;Oui;Non
636;60;35;35;3;200;1;Non;Non
637;40;16;120;2;6100;1;Non;Non
638;53;28;31;4;100;3;Non;Non
639;42;16;35;3;1500;1;Non;Non
640;62;36;32;2;200;3;Non;Non
641;43;18;85;1;3700;3;Non;Non
642;35;10;139;2;7800;1;Non;Non
643;50;24;103;1;300;1;Non;Non
644;45;21;152;2;1400;1;Non;Non
645;52;27;33;2;2000;2;Non;Non
646;35;9;84;4;2200;2;Non;Non
647;58;33;61;4;1700;1;Non;Non
648;62;38;64;4;2200;1;Oui;Non
649;50;25;34;1;1300;2;Non;Non
650;25;-1;82;4;2100;3;Non;Non
651;47;22;122;1;5100;3;Non;Oui
652;28;4;58;3;1500;1;Non;Non
653;34;9;92;1;2800;1;Non;Non
654;49;23;78;2;2400;2;Non;Non
655;54;29;129;4;4200;3;Non;Oui
656;50;25;13;2;700;3;Non;Non
657;37;11;81;1;2800;3;Non;Non
658;38;8;23;1;670;3;Non;Non
659;52;26;35;3;900;3;Non;Non
660;63;39;79;4;1700;2;Non;Non
661;39;14;165;2;3300;1;Non;Non
662;63;38;52;2;2800;1;Non;Non
663;65;41;185;3;2000;2;Non;Oui
664;46;20;49;3;2200;2;Non;Non
665;54;30;64;1;1800;3;Non;Non
666;54;24;61;4;2000;3;Non;Non
667;52;26;112;1;2400;1;Oui;Non
668;63;39;72;3;2000;3;Non;Non
669;66;41;18;3;500;1;Non;Non
670;56;29;41;4;2500;2;Non;Non
671;23;-1;61;4;2600;1;Non;Non
672;65;41;105;1;3000;2;Oui;Oui
673;51;27;23;1;200;1;Non;Non
674;34;10;22;1;500;3;Non;Non
675;49;23;59;3;2100;1;Non;Non
676;29;2;33;1;2000;2;Non;Non
677;47;23;11;1;900;3;Non;Non
